3569998257469702|02|2027|724
3569996929941033|02|2028|635
3569997629663604|01|2028|756
3569993594974548|03|2028|537
3569999964876486|03|2028|503
3569992090225629|04|2024|880
3569993391031443|12|2025|302
3569994085567577|07|2029|257
3569997977321821|05|2030|313
3569994075270216|07|2025|562
3569997610182325|05|2030|699
3569993335661024|11|2024|218
3569994797354256|09|2029|417
3569997032618583|12|2026|674
3569997505174213|02|2028|507
3569994131710353|05|2026|114
3569999187092481|08|2030|983
3569996205631894|10|2024|864
3569998459004349|04|2024|660
3569994288026116|08|2024|550
3569995165638279|09|2030|914
3569996182647558|01|2026|228
3569992689118045|05|2027|467
3569994249885394|05|2025|553
3569999340654003|04|2029|304
